"Contact Name","Opportunity Name","Opportunity Description","Opportunity Id","Created","Updated","Owner","Milestone","Probability","Estimated Value","Currency","EUR Value","Duration Basis","Duration","Value per Duration","Actual Close Date","Expected Close Date","Contact Id","Email","Phone","Address","Tags","Quotation","Product type","Region","Type of Client","Source of lead","Out of Scope","Lost Reason"
"Petrotec  Ras Laffan Service Centre","# printen indoor unit","Willen 3 printen voor 2 kw units van Daikin. Spullen origineel geleverd door Atexxo.","11076417","2021-05-25","2021-05-25","Gido van Tienhoven","Proposal","50%","3360.00","EUR","3360.00","fixed","","3360.00","","","214850085","","","West Support Services area,, Ghuwairiya St.1,, QP West Support Area,, Ras Laffan, Qatar","","2021PETROTEC01","Other","Middle-East","End-user","Ex-M website","",""
"Ex Electrical Pty Ltd","(SH24N20AT-A) Friedrich or equivalent.","","9611650","2020-05-29","2020-08-17","Liesbeth van Tienhoven","Lost","0%","","","","fixed","","","2020-08-17","","200741381",""," +61 (08) 6454 0284","19 Walters Drive| Osborne Park | WA | 6017 | Australia, Australia","","","","","","","",""
"Almco Group of Companies"," +55 graden 10 kilowatt","","10179997","2020-09-29","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","205549243",""," +964 7801 888 111","Near Bab Artawi, north Rumaila, , Basra, Iraq, Iraq","","2020ALMCO01","","","","","",""
"Wellhead Electrical Supplies Ltd"," -25 graden AC oplossing hyper heater PUMY","","10507145","2020-12-17","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","200102698",""," +44 (0)1224 723606","Unit 4D, Dyce Industrial Park, Wellheads Crescent, Dyce, Aberdeen, AB21 7GA","","","","","","","",""
"maspero"," -27 tot plus 50 AC ATEX zone 2","","10995351","2021-05-04","2021-05-11","Liesbeth van Tienhoven","New","10%","","","","fixed","","","","","213945364","","","","","","","","","","",""
"B Robotics W Srl"," -50 tot +50 met EAC","","11317573","2021-07-27","2021-07-27","Liesbeth van Tienhoven","Lost","0%","","","","fixed","","","2021-07-27","","217664045","","","Via Boscarella 60, Besenzone, PC, Besenzone, Italy","","","Airconditioner","Western Europe","Engineer","Ex-M website","true",""
"ADOS","1 ton split type","","10192578","2020-10-01","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","205717790",""," +971 (2) 554 8782","P.O. Box 4015, Abu Dhabi, UAE, United Arab Emirates","","2020ADOS01 02","","","","","",""
"Joint Gulf Business (JGB) Corp.","1 x +52W50","","11263639","2021-07-14","2021-07-15","Liesbeth van Tienhoven","Lost","0%","5000.00","EUR","5000.00","fixed","","5000.00","2021-07-15","","206408833",""," +966 12 263 2889","Office No. 26, Fifth Floor, , Enjaz Commercial Business Center, , Tadamun Al-Arabi Street, West Amir Majed Street, , Jeddah-Saudi Arabia, Saudi Arabia","","2021JGB03","Airconditioner","Middle-East","Installer","Ex-M website","true",""
"Rawabi Electric","1 x 1 rt AC voor Aramco saudi arabie","","10794024","2021-03-11","2021-05-11","Liesbeth van Tienhoven","Proposal","50%","","","","fixed","","","","","212071502","info@rawabielectric.com","","Dammam 2nd Industrial City, Dammam 34334, Saudi Arabia, Saudi Arabia","","2021RAWABI01","","","","","",""
"Joint Gulf Business (JGB) Corp.","1 x 1.5RT Class 1, Div2","","11181840","2021-06-22","2021-06-22","Gido van Tienhoven","New","10%","","","","fixed","","","","","206408833",""," +966 12 263 2889","Office No. 26, Fifth Floor, , Enjaz Commercial Business Center, , Tadamun Al-Arabi Street, West Amir Majed Street, , Jeddah-Saudi Arabia, Saudi Arabia","","","","","","","",""
